Word,Adjective
multifarious,varied; motley; greatly diversified
substantiation,giving facts to support (statement)
feud,bitter quarrel over a long period of time
indefatigability,not easily exhaustible; tirelessness
convoluted,complicated;coiled; twisted
euthanasia,easy and painless death
underbid,make a lower bid then somebody else
cognizant,being fully aware of
concoct,"invent, prepare by mixing together"
turquoise,greenish-blue precious stone
decree,order given by authority
irate,angry
frantic,wildly excited with joy; pain; anxiety
alcove,recess/partially enclosed place
reverent,feeling or showing deep respect
derogatory,insulting; tending to damage
fawn,To seek favor or attention by flattery and obsequious
miser,person who loves wealth and spends little
valiant,brave
pervade,spread through every part of
tarnished,lost brightness
irrevocable,final and unalterable
imminent,likely to come or happen soon
soggy,heavy with water
savor,taste flavor something
wanton,unrestrained; willfully malicious; unchaste
unearth,discover and bring to light
hoax,mischievous trick played to deceive
voluptuous,arousing sensual pleasures
earthenware,dishes made of baked clay
suppress,prevent from being known put an end to
vindictive,having a desire to revenge
defiance,open disobedience or resistance
pinch,be too tight take between the thumb and finger
coalescing,coming together and uniting into one substance
gust,outburst of feeling; sudden rain wind fire etc.
candid,frank; straight-forward
warmonger,person who stirs up war
wince,show bodily or mental pain
loquacious,talkative; garrulous
gush,burst out suddenly/talk ardently
swerve,change direction suddenly
peccadillo,small sin small weakness in one's character
precursory,preliminary; anticipating
plunge,move quickly suddenly and with force
counterfeit,forgery
revere,have deep respect for
torment,severe pain or suffering
exculpate,to clear from a charge of guilt
abraded,rubbed off; worn away by friction
squander,spend wastefully
quandary,state of doubt or perplexity
dawdler,person who is slow waste of time
noxious,harmful
compunction,feeling of regret for one's action
deplete,use until none remains
coerce,compel to force to make obedient
recompense,make payment to reward punish
proliferate,grow reproduce by rapid multification
polemic,a controversial argument / a person engaged in such an argument
personable,pleasing in appearance attractive
punitive,Punishing
reciprocity,granting of privileges in return for similar
antithetical,direct opposing
holster,leather case for a pistol
stifled,"suppressed, kept back"
aseptic,surgically clean
propagation,increasing the number; spreading; extending
hapless,unlucky
implacable,incapable of being placated; unpleasable
ineptitude,quality of being unskillful
distraught,distracted violently upset in mind
vigilance,watchfulness self-appointed group who maintain order
condense,increase in density strength make laconic
forestall,prevent by taking action in advance; preempt
stipulate,state or put forward as a necessary condition
diabolical,having the qualities of a devil
provoke,make angry vax
lustrous,being bright; polished
lament,show feeling of great sorrow
plummet,fall plunge steeply
subpoena,written order requiring a person to appear in a low court
accrue,accumulate
extol,to praise highly
vitriolic,corrosive; sarcastic
idolatry,excessive admiration of
soot,black powder in smoke
valorous,brave
illicit,unlawful; forbidden
apropos,by the way
haughty,arrogant; conceited
aversion,strong dislike
floe,a sheet of floating ice
complaisance,tending to comply obliging willingness to please
supersede,take the place of
apprehensive,grasping understanding fear unhappy feeling about future
latent,present but not yet active; developed or visible
viscous,sticky/semi-fluid
topple,be unsteady and overturn
deviance,being different in moral standards (from normal)
concord,agreement or harmony
pristine,primitive unspoiled pure as in earlier times unadulterated
enunciate,pronounce (words)/express a theory
inept,unskillful; said or done at the wrong time
variegate,To mark with different shade or colors
malevolence,wishing to do evil
entangle,put into difficulties
impediment,something that hinders (e.g. stammer)
undermine,weaken gradually at the base make something under
slack,sluggish; dull; not tight
calisthenics,exercises to develop strong bodies
regicide,crime of killing a king
palate,roof of the mouth; sense of taste
arduous,steep difficult ascent; laborious
prevalent,common
recluse,person who lives alone and avoids people
pungency,sharpness stinging quality
placate,soothe pacify calm
tamper,interfere with
iconoclast,person who attacks popular beliefs
hush,make or become silent
frugal,careful; economical
felon,person guilty of murder
shun,keep away from avoid
finesse,delicate way of dealing with a situation
whimsical,full of odd and fanciful ideas
bigot,stubborn; narrow-minded person
aloof,reserved; indifferent
indomitable,not easily discouraged or subdued
imperative,urgent; essential
smolder,burn slowly without flame
muffler,cloth worn round the neck; silencer
perilous,dangerous
apprise,give notice to inform
dismal,sad; gloomy; miserable
trickle,flow in drops
enthral,"take the whole attention, enslave"
disencumber,free from encumbrance
impending,imminent; about to happen; expected
lavish,giving or producing freely liberally or generously
stickler,person who insists on importance of something
avow,admit; declare openly
stigma,mark of shame or disgrace
mendacious,lying; habitually dishonest
indulge,gratify; give way to satisfy allow oneself
castigation,severe punishment
deter,discourage hinder
vehemence,forcefulness
benevolence,wish or activity in doing good
gist,the point general sense
incredulous,skeptical; unwilling to believe
squat,crouch/settle without permission
exuberance,state of growing vigorously being full of life
soar,rise fly high
tenacity,firmness persistency adhesiveness tending to hang on
incessant,Constant
procrastination,keeping on putting off
conciliatory,reconciling; soothing; comforting; mollifying
subdue,overcome bring under control
transient,temporary fleeting
tassel,bunch of threads
apostate,one who abandons long-held religious or political convictions
engrave,impress deeply
berate,scold sharply
connotation,suggestion in addition to
flaunting,show off complacently
empirical,relying on experiment
impair,worsen; diminish in value
immaculate,pure; faultless
pillage,plunder (especially in war)
extrovert,cheerful person
prone,prostrate; inclined to (undesirable things)
astute,clever quick at seeing to get an advantage
coy,shy/modest (especially of a girl)
truce,(agreement) stop of fighting for a time
precepts,rules establishing standards of conduct
exorbitant,much too high or great
mollify,make calmer or quieter
incorrigibility,cannot be cured or corrected
taciturn,"unspoken, silent"
sober,self-controlled
approbation,approval
conviction,convincing firm belief
castigate,to chastise; correct by punishing
bolster,give greatly needed support
efface,"rub or wipe out, obliterate"
vex,annoy distress trouble
fallacious,based on error
flamboyant,brightly colored; florid
nonchalant,not having interest
gorge,eat greedily/narrow opening with a stream
poncho,large piece of cloth
grandiloquent,using pompous words
pitfall,covered hole as a trap unsuspected danger
coddle,treat with care and tenderness
impassive,unmoved; feeling no sign of passion
lull,become quiet or less active
curtail,make shorter then was planned
perch,take up a high position
inscrutable,incapable of being discovered or understood
shrill,sharp; piercing
prudence,careful forethought
cohort,a group or band of people
boorish,crude; rude
timorous,fearful timid afraid
imperturbable,calm not capable of being excited
arboreal,of connected with trees
rescind,repeal/annul/cancel
intersperse,place here and there
oblivious,unaware; having no memory
ignoble,not noble;   inferior
espouse,To take in marriage
sagacious,having sound judgment; perceptive; wise like a sage
nebulous,cloud-like; hazy; vague; indistinct
disseminate,distribute (esp. ideas)
bask,in enjoy warmth and light
heed,attention/give notice to
precarious,uncertain risky dangerous
incise,engrave; make a cut in
endearing,making dear or liked
ebullient,overflowing with enthusiasm showing excitement
inferno,hell
palpitate,tremble beat rapidly and irregularly
fluke,lucky; stroke
fluster,make nervous or confused
graze,touch or scrape lightly in passing
laudatory,expressing or giving praise
matriculation,be admitted enter a university as a student
susceptibility,sensitiveness
embellish,make beautiful
ominous,threatening
ostracism,shut out from society refuse to meet talk
divulge,make known something secret
pliant,easily bent
maverick,rebel; nonconformist
malapropism,misuse of a word (for one that resembles it)
quell,suppress subdue
extort,obtain by threats violence
cling,to resist separation
sidestep,step to one side
dubious,feeling doubt
irascible,irritable; easily angered
fidget,move restlessly make nervous
epitome,brief summary representative example a typical model
corroboration,additional strengthening evidence
garner,to gather and save to store up
ambrosial,extremely pleasing to taste
ferocity,savage cruelty
expurgate,to remove obscenity purify censor
cantankerous,bad-tempered/quarrelsome
arabesque,a complex ornate design
attune,bring into harmony
chaste,pure
efficacy,production of a desired result
rift,split crack dissension
palpability,can be felt or touched
veer,change direction
insensible,unconscious; unresponsive; unaffected
gourmand,a person who is devoted to eating and drinking to excess
plead,address a court of law as an advocate
morbid,diseased; unhealthy (e.g.. about ideas)
enmity,hatred being an enemy
